ID,Journal,Papers in 2025 (all authors),Papers with NIH funding,journal share of NIH funded papers in 2025,Cumulative number of NIH funded papers,Cumulative % NIH,Cumulative number of journals,Cumulative % of journals,ISSN,eISSN,Publisher,oa_status,apc_usd,apc_usd_originalORconverted,manual_link,comment,Publisher category
jour.1043282,Nature Communications,12187,2473,0.202921145,2473,2.175366373,1,0.01303611,0,2041-1723,Springer Nature,Gold OA,6990,original,0,0,for profit
jour.1045337,Scientific Reports,47356,1530,0.032308472,4003,3.521225876,2,0.02607222,0,2045-2322,Springer Nature,Gold OA,2690,original,0,0,for profit
jour.1082971,PNAS,3778,1212,0.320804659,5215,4.587357717,3,0.03910833,0027-8424,1091-6490,Proceedings of the National Academy of Sciences,Hybrid OA,5995,original,https://web.archive.org/web/20250619215812/https://www.pnas.org/author-center/publication-charges,"$5,495 for corresponding authors from institutions with current-year site licenses (compared to our $5,995 regular fee)",not for profit
jour.1037553,PLOS ONE,18180,1024,0.056325633,6239,5.488115973,4,0.05214444,0,1932-6203,Public Library of Science (PLoS),Gold OA,2382,original,0,0,not for profit
jour.1046517,eLife,2554,901,0.352779953,7140,6.28067768,5,0.06518055,0,2050-084X,eLife,Gold OA,2500,original,https://web.archive.org/web/20250622213526/https://elifesciences.org/about/peer-review,"starting July, APC 3,000 USD",not for profit
jour.1321825,JAMA Network Open,1890,788,0.416931217,7928,6.973839306,6,0.07821666,0,2574-3805,American Medical Association (AMA),Gold OA,4000,original,https://web.archive.org/web/20250703010407/https://jamanetwork.com/journals/jamanetworkopen/pages/instructions-for-authors,"Payment of $3000 for manuscripts submitted on or before January 15, 2025, and $4000 for manuscripts submitted on or after January 16, 2025, and grant of a Publication License to the journal.",not for profit
jour.1051517,Science Advances,3112,770,0.247429306,8698,7.651167291,7,0.09125277,0,2375-2548,American Association for the Advancement of Science (AAAS),Gold OA,5450,original,https://web.archive.org/web/20250609130726/https://www.science.org/content/page/science-advances-licensing-and-charges,0,not for profit
jour.1028874,International Journal of Molecular Sciences,11965,703,0.058754701,9401,8.269558945,8,0.10428888,1661-6596,1422-0067,MDPI,Gold OA,3550.136471,converted from CHF,0,0,for profit
jour.1034467,Alzheimer's & Dementia,1051,687,0.653663178,10088,8.873876251,9,0.11732499,1552-5260,1552-5279,Wiley,Gold OA,4200,original,0,0,for profit
jour.1081898,Journal of the ACS,4660,615,0.131974249,10703,9.414858993,10,0.1303611,0002-7863,1520-5126,American Chemical Society (ACS),Hybrid OA,4500,original,https://web.archive.org/web/20250529213608/https://acsopenscience.org/researchers/oa-pricing/,0,not for profit
